bank_transaction_id,transaction_date,description,credit_paise,debit_paise,currency,bank_reference,settlement_utr
B_0001,2026-02-05,NEFT CR-RAZORPAY SOFTWARE-N26020500000001,1696488,0,INR,BREF000001,N26020500000001
B_0002,2026-02-07,NEFT CR-RAZORPAY SOFTWARE-N26020700000002,908052,0,INR,BREF000002,N26020700000002
B_0003,2026-02-10,NEFT CR-RAZORPAY SOFTWARE-N26021000000003,578760,0,INR,BREF000003,N26021000000003
B_0004,2026-02-11,NEFT CR-RAZORPAY SOFTWARE-N26021100000004,970500,0,INR,BREF000004,N26021100000004
B_0005,2026-02-13,NEFT CR-RAZORPAY SOFTWARE-N26021300000005,1585967,0,INR,BREF000005,N26021300000005
B_0006,2026-02-17,NEFT CR-RAZORPAY SOFTWARE-N26021700000006,1171680,0,INR,BREF000006,N26021700000006
B_0007,2026-02-18,NEFT CR-RAZORPAY SOFTWARE-N26021800000007,781120,0,INR,BREF000007,N26021800000007
B_0008,2026-02-19,NEFT CR-RAZORPAY SOFTWARE-N26021900000008,708480,0,INR,BREF000008,N26021900000008
B_0009,2026-02-21,NEFT CR-RAZORPAY SOFTWARE-N26022100000009,837580,0,INR,BREF000009,N26022100000009
B_0010,2026-02-25,NEFT-RAZORPAYSOFTWAREPVTLTD-SETTLEMENT PART 1,488790,0,INR,BREF000010,
B_0011,2026-02-25,NEFT-RAZORPAYSOFTWAREPVTLTD-SETTLEMENT PART 2,977580,0,INR,BREF000011,
B_0012,2026-02-27,NEFT-RAZORPAYSOFTWAREPVTLTD-BULK SETTLEMENT,1222122,0,INR,BREF000012,
B_0013,2026-03-03,NEFT CR RZRPAY 00000014,1074040,0,INR,BREF000013,
B_0014,2026-03-05,NEFT CR-RAZORPAY SOFTWARE-N26030500000015,976400,0,INR,BREF000014,N26030500000015
B_0015,2026-03-06,NEFT CR-RAZORPAY SOFTWARE-N26030600000016,829940,0,INR,BREF000015,N26030600000016
B_0016,2026-03-07,NEFT CR-RAZORPAY SOFTWARE-N26030700000017,1220500,0,INR,BREF000016,N26030700000017
B_0017,2026-03-10,NEFT CR-RAZORPAY SOFTWARE-N26031000000018,1171680,0,INR,BREF000017,N26031000000018
B_0018,2026-03-11,NEFT CR-RAZORPAY SOFTWARE-N26031100000019,927580,0,INR,BREF000018,N26031100000019
B_0019,2026-03-13,NEFT CR-RAZORPAY SOFTWARE-N26031300000020,878760,0,INR,BREF000019,N26031300000020
B_0020,2026-03-17,NEFT-RAZORPAYSOFTWAREPVTLTD-SETTLEMENT,488200,0,INR,BREF000020,
B_0021,2026-03-17,NEFT-RAZORPAYSOFTWAREPVTLTD-SETTLEMENT,488200,0,INR,BREF000021,
