ledger_entry_id,entry_group_id,account,direction,amount_paise,order_id,payment_id,refund_id,settlement_id,seller_id,ledger_date,description
L_00001,G_0001,RAZORPAY_CLEARING,DR,250000,ORD_0001,EV01_P1,,,,2026-02-02,capture
L_00002,G_0001,SALES,CR,250000,ORD_0001,EV01_P1,,,,2026-02-02,capture
L_00003,G_0002,BANK,DR,250000,,EV01_P1,,EV_01,,2026-02-05,settlement
L_00004,G_0002,RAZORPAY_CLEARING,CR,250000,,EV01_P1,,EV_01,,2026-02-05,settlement
L_00005,G_0003,RAZORPAY_CLEARING,DR,1000000,ORD_0002,EV01_P2,,,,2026-02-03,capture
L_00006,G_0003,SALES,CR,1000000,ORD_0002,EV01_P2,,,,2026-02-03,capture
L_00007,G_0004,BANK,DR,976400,,EV01_P2,,EV_01,,2026-02-05,settlement
L_00008,G_0004,GATEWAY_FEES,DR,20000,,EV01_P2,,EV_01,,2026-02-05,settlement
L_00009,G_0004,INPUT_GST,DR,3600,,EV01_P2,,EV_01,,2026-02-05,settlement
L_00010,G_0004,RAZORPAY_CLEARING,CR,1000000,,EV01_P2,,EV_01,,2026-02-05,settlement
L_00011,G_0005,RAZORPAY_CLEARING,DR,480000,ORD_0003,EV01_P3,,,,2026-02-02,capture
L_00012,G_0005,SALES,CR,480000,ORD_0003,EV01_P3,,,,2026-02-02,capture
L_00013,G_0006,BANK,DR,470088,,EV01_P3,,EV_01,,2026-02-05,settlement
L_00014,G_0006,GATEWAY_FEES,DR,8400,,EV01_P3,,EV_01,,2026-02-05,settlement
L_00015,G_0006,INPUT_GST,DR,1512,,EV01_P3,,EV_01,,2026-02-05,settlement
L_00016,G_0006,RAZORPAY_CLEARING,CR,480000,,EV01_P3,,EV_01,,2026-02-05,settlement
L_00017,G_0007,RAZORPAY_CLEARING,DR,620000,ORD_0004,EV02_P3,,,,2026-02-04,capture
L_00018,G_0007,SALES,CR,620000,ORD_0004,EV02_P3,,,,2026-02-04,capture
L_00019,G_0008,BANK,DR,605368,,EV02_P3,,EV_02,,2026-02-07,settlement
L_00020,G_0008,GATEWAY_FEES,DR,12400,,EV02_P3,,EV_02,,2026-02-07,settlement
L_00021,G_0008,INPUT_GST,DR,2232,,EV02_P3,,EV_02,,2026-02-07,settlement
L_00022,G_0008,RAZORPAY_CLEARING,CR,620000,,EV02_P3,,EV_02,,2026-02-07,settlement
L_00023,G_0009,RAZORPAY_CLEARING,DR,310000,ORD_0005,EV02_P4,,,,2026-02-05,capture
L_00024,G_0009,SALES,CR,310000,ORD_0005,EV02_P4,,,,2026-02-05,capture
L_00025,G_0010,BANK,DR,302684,,EV02_P4,,EV_02,,2026-02-07,settlement
L_00026,G_0010,GATEWAY_FEES,DR,6200,,EV02_P4,,EV_02,,2026-02-07,settlement
L_00027,G_0010,INPUT_GST,DR,1116,,EV02_P4,,EV_02,,2026-02-07,settlement
L_00028,G_0010,RAZORPAY_CLEARING,CR,310000,,EV02_P4,,EV_02,,2026-02-07,settlement
L_00029,G_0011,RAZORPAY_CLEARING,DR,900000,ORD_0006,EV03_P1,,,,2026-02-06,capture
L_00030,G_0011,SALES,CR,900000,ORD_0006,EV03_P1,,,,2026-02-06,capture
L_00031,G_0012,REFUNDS,DR,300000,,EV03_P1,EV03_R1,,,2026-02-07,refund
