src_type,src_id,dst_type,dst_id,edge_kind,amount_paise
customer,CUST_001,order,ORD_0001,PLACED,250000
customer,CUST_001,order,ORD_0027,PLACED,1250000
customer,CUST_002,order,ORD_0002,PLACED,1000000
customer,CUST_002,order,ORD_0028,PLACED,1200000
customer,CUST_003,order,ORD_0003,PLACED,480000
customer,CUST_003,order,ORD_0029,PLACED,950000
customer,CUST_004,order,ORD_0004,PLACED,620000
customer,CUST_004,order,ORD_0030,PLACED,450000
customer,CUST_005,order,ORD_0005,PLACED,310000
customer,CUST_005,order,ORD_0031,PLACED,450000
customer,CUST_006,order,ORD_0006,PLACED,900000
customer,CUST_006,order,ORD_0032,PLACED,500000
customer,CUST_007,order,ORD_0007,PLACED,1000000
customer,CUST_007,order,ORD_0033,PLACED,500000
customer,CUST_008,order,ORD_0008,PLACED,120200
customer,CUST_008,order,ORD_0034,PLACED,485000
customer,CUST_009,order,ORD_0009,PLACED,180500
customer,CUST_009,order,ORD_0035,PLACED,250000
customer,CUST_010,order,ORD_0010,PLACED,240700
customer,CUST_010,order,ORD_0036,PLACED,1120000
customer,CUST_011,order,ORD_0011,PLACED,300800
customer,CUST_011,order,ORD_0037,PLACED,318000
customer,CUST_012,order,ORD_0012,PLACED,361000
customer,CUST_012,order,ORD_0038,PLACED,742000
customer,CUST_013,order,ORD_0013,PLACED,421100
customer,CUST_013,order,ORD_0039,PLACED,196000
customer,CUST_014,order,ORD_0014,PLACED,1200000
customer,CUST_014,order,ORD_0040,PLACED,655000
customer,CUST_015,order,ORD_0015,PLACED,800000
customer,CUST_015,order,ORD_0041,PLACED,1480000
customer,CUST_016,order,ORD_0016,PLACED,700000
customer,CUST_016,order,ORD_0042,PLACED,409000
customer,CUST_017,order,ORD_0017,PLACED,250000
customer,CUST_017,order,ORD_0043,PLACED,275000
customer,CUST_018,order,ORD_0018,PLACED,950000
customer,CUST_018,order,ORD_0044,PLACED,890000
customer,CUST_019,order,ORD_0019,PLACED,1400000
customer,CUST_019,order,ORD_0045,PLACED,533000
customer,CUST_020,order,ORD_0020,PLACED,900000
customer,CUST_020,order,ORD_0046,PLACED,167000
customer,CUST_021,order,ORD_0021,PLACED,600000
customer,CUST_022,order,ORD_0022,PLACED,700000
customer,CUST_023,order,ORD_0023,PLACED,550000
customer,CUST_024,order,ORD_0024,PLACED,1100000
customer,CUST_025,order,ORD_0025,PLACED,1000000
customer,CUST_026,order,ORD_0026,PLACED,850000
payment,EV01_P1,ledger_entry,L_00001,POSTED_AS,250000
payment,EV01_P1,ledger_entry,L_00002,POSTED_AS,250000
payment,EV01_P1,ledger_entry,L_00003,POSTED_AS,250000
payment,EV01_P1,ledger_entry,L_00004,POSTED_AS,250000
payment,EV01_P1,settlement_item,SI_0001,SETTLED_AS,250000
payment,EV01_P2,seller_allocation,ALLOC_0001,ALLOCATED_TO,600000
payment,EV01_P2,seller_allocation,ALLOC_0002,ALLOCATED_TO,350000
payment,EV01_P2,ledger_entry,L_00005,POSTED_AS,1000000
payment,EV01_P2,ledger_entry,L_00006,POSTED_AS,1000000
payment,EV01_P2,ledger_entry,L_00007,POSTED_AS,976400
payment,EV01_P2,ledger_entry,L_00008,POSTED_AS,20000
payment,EV01_P2,ledger_entry,L_00009,POSTED_AS,3600
payment,EV01_P2,ledger_entry,L_00010,POSTED_AS,1000000
payment,EV01_P2,settlement_item,SI_0002,SETTLED_AS,1000000
payment,EV01_P2,transfer,TRF_0001,TRANSFERRED_BY,528000
payment,EV01_P2,transfer,TRF_0002,TRANSFERRED_BY,308000
payment,EV01_P3,seller_allocation,ALLOC_0003,ALLOCATED_TO,432000
payment,EV01_P3,ledger_entry,L_00011,POSTED_AS,480000
payment,EV01_P3,ledger_entry,L_00012,POSTED_AS,480000
payment,EV01_P3,ledger_entry,L_00013,POSTED_AS,470088
payment,EV01_P3,ledger_entry,L_00014,POSTED_AS,8400
payment,EV01_P3,ledger_entry,L_00015,POSTED_AS,1512
payment,EV01_P3,ledger_entry,L_00016,POSTED_AS,480000
payment,EV01_P3,settlement_item,SI_0003,SETTLED_AS,480000
payment,EV01_P3,transfer,TRF_0003,TRANSFERRED_BY,397440
payment,EV02_P3,seller_allocation,ALLOC_0004,ALLOCATED_TO,496000
payment,EV02_P3,ledger_entry,L_00017,POSTED_AS,620000
payment,EV02_P3,ledger_entry,L_00018,POSTED_AS,620000
payment,EV02_P3,ledger_entry,L_00019,POSTED_AS,605368
payment,EV02_P3,ledger_entry,L_00020,POSTED_AS,12400
payment,EV02_P3,ledger_entry,L_00021,POSTED_AS,2232
payment,EV02_P3,ledger_entry,L_00022,POSTED_AS,620000
payment,EV02_P3,settlement_item,SI_0004,SETTLED_AS,620000
payment,EV02_P3,transfer,TRF_0004,TRANSFERRED_BY,421600
payment,EV02_P4,seller_allocation,ALLOC_0005,ALLOCATED_TO,232500
payment,EV02_P4,ledger_entry,L_00023,POSTED_AS,310000
payment,EV02_P4,ledger_entry,L_00024,POSTED_AS,310000
payment,EV02_P4,ledger_entry,L_00025,POSTED_AS,302684
payment,EV02_P4,ledger_entry,L_00026,POSTED_AS,6200
payment,EV02_P4,ledger_entry,L_00027,POSTED_AS,1116
payment,EV02_P4,ledger_entry,L_00028,POSTED_AS,310000
payment,EV02_P4,settlement_item,SI_0005,SETTLED_AS,310000
payment,EV02_P4,transfer,TRF_0005,TRANSFERRED_BY,213900
payment,EV03_P1,seller_allocation,ALLOC_0006,ALLOCATED_TO,450000
payment,EV03_P1,refund,EV03_R1,REFUNDED_BY,300000
payment,EV03_P1,ledger_entry,L_00029,POSTED_AS,900000
payment,EV03_P1,ledger_entry,L_00030,POSTED_AS,900000
payment,EV03_P1,ledger_entry,L_00031,POSTED_AS,300000
payment,EV03_P1,ledger_entry,L_00032,POSTED_AS,300000
payment,EV03_P1,ledger_entry,L_00033,POSTED_AS,578760
payment,EV03_P1,ledger_entry,L_00034,POSTED_AS,18000
payment,EV03_P1,ledger_entry,L_00035,POSTED_AS,3240
payment,EV03_P1,ledger_entry,L_00036,POSTED_AS,600000
payment,EV03_P1,settlement_item,SI_0006,SETTLED_AS,900000
payment,EV03_P1,transfer,TRF_0006,TRANSFERRED_BY,414000
refund,EV03_R1,settlement_item,SI_0007,SETTLED_AS,-300000
payment,EV04_P1,seller_allocation,ALLOC_0007,ALLOCATED_TO,700000
payment,EV04_P1,ledger_entry,L_00037,POSTED_AS,1000000
payment,EV04_P1,ledger_entry,L_00038,POSTED_AS,1000000
payment,EV04_P1,ledger_entry,L_00039,POSTED_AS,970500
payment,EV04_P1,ledger_entry,L_00040,POSTED_AS,25000
payment,EV04_P1,ledger_entry,L_00041,POSTED_AS,4500
payment,EV04_P1,ledger_entry,L_00042,POSTED_AS,1000000
payment,EV04_P1,settlement_item,SI_0008,SETTLED_AS,1000000
payment,EV04_P1,transfer,TRF_0007,TRANSFERRED_BY,616000
payment,EV05_P1,seller_allocation,ALLOC_0008,ALLOCATED_TO,114190
payment,EV05_P1,ledger_entry,L_00043,POSTED_AS,120200
payment,EV05_P1,ledger_entry,L_00044,POSTED_AS,120200
payment,EV05_P1,ledger_entry,L_00045,POSTED_AS,117363
payment,EV05_P1,ledger_entry,L_00046,POSTED_AS,2404
payment,EV05_P1,ledger_entry,L_00047,POSTED_AS,433
payment,EV05_P1,ledger_entry,L_00048,POSTED_AS,120200
payment,EV05_P1,settlement_item,SI_0009,SETTLED_AS,120200
payment,EV05_P1,transfer,TRF_0008,TRANSFERRED_BY,97061
payment,EV05_P2,ledger_entry,L_00049,POSTED_AS,180500
payment,EV05_P2,ledger_entry,L_00050,POSTED_AS,180500
payment,EV05_P2,ledger_entry,L_00051,POSTED_AS,176240
payment,EV05_P2,ledger_entry,L_00052,POSTED_AS,3610
payment,EV05_P2,ledger_entry,L_00053,POSTED_AS,650
payment,EV05_P2,ledger_entry,L_00054,POSTED_AS,180500
payment,EV05_P2,settlement_item,SI_0010,SETTLED_AS,180500
payment,EV05_P3,ledger_entry,L_00055,POSTED_AS,240700
payment,EV05_P3,ledger_entry,L_00056,POSTED_AS,240700
payment,EV05_P3,ledger_entry,L_00057,POSTED_AS,235019
payment,EV05_P3,ledger_entry,L_00058,POSTED_AS,4814
payment,EV05_P3,ledger_entry,L_00059,POSTED_AS,867
payment,EV05_P3,ledger_entry,L_00060,POSTED_AS,240700
payment,EV05_P3,settlement_item,SI_0011,SETTLED_AS,240700
payment,EV05_P4,seller_allocation,ALLOC_0009,ALLOCATED_TO,195520
payment,EV05_P4,ledger_entry,L_00061,POSTED_AS,300800
payment,EV05_P4,ledger_entry,L_00062,POSTED_AS,300800
payment,EV05_P4,ledger_entry,L_00063,POSTED_AS,293701
payment,EV05_P4,ledger_entry,L_00064,POSTED_AS,6016
payment,EV05_P4,ledger_entry,L_00065,POSTED_AS,1083
payment,EV05_P4,ledger_entry,L_00066,POSTED_AS,300800
payment,EV05_P4,settlement_item,SI_0012,SETTLED_AS,300800
payment,EV05_P4,transfer,TRF_0009,TRANSFERRED_BY,172058
payment,EV05_P5,ledger_entry,L_00067,POSTED_AS,361000
payment,EV05_P5,ledger_entry,L_00068,POSTED_AS,361000
payment,EV05_P5,ledger_entry,L_00069,POSTED_AS,352480
payment,EV05_P5,ledger_entry,L_00070,POSTED_AS,7220
payment,EV05_P5,ledger_entry,L_00071,POSTED_AS,1300
payment,EV05_P5,ledger_entry,L_00072,POSTED_AS,361000
payment,EV05_P5,settlement_item,SI_0013,SETTLED_AS,361000
payment,EV05_P6,ledger_entry,L_00073,POSTED_AS,421100
payment,EV05_P6,ledger_entry,L_00074,POSTED_AS,421100
payment,EV05_P6,ledger_entry,L_00075,POSTED_AS,411162
payment,EV05_P6,ledger_entry,L_00076,POSTED_AS,8422
payment,EV05_P6,ledger_entry,L_00077,POSTED_AS,1516
payment,EV05_P6,ledger_entry,L_00078,POSTED_AS,421100
payment,EV05_P6,settlement_item,SI_0014,SETTLED_AS,421100
payment,EV06_P1,seller_allocation,ALLOC_0010,ALLOCATED_TO,480000
payment,EV06_P1,seller_allocation,ALLOC_0011,ALLOCATED_TO,540000
payment,EV06_P1,refund,EV06_R1,REFUNDED_BY,400000
payment,EV06_P1,ledger_entry,L_00079,POSTED_AS,1200000
payment,EV06_P1,ledger_entry,L_00080,POSTED_AS,1200000
payment,EV06_P1,ledger_entry,L_00081,POSTED_AS,400000
payment,EV06_P1,ledger_entry,L_00082,POSTED_AS,400000
payment,EV06_P1,ledger_entry,L_00083,POSTED_AS,771680
payment,EV06_P1,ledger_entry,L_00084,POSTED_AS,24000
payment,EV06_P1,ledger_entry,L_00085,POSTED_AS,4320
payment,EV06_P1,ledger_entry,L_00086,POSTED_AS,800000
payment,EV06_P1,settlement_item,SI_0015,SETTLED_AS,1200000
payment,EV06_P1,transfer,TRF_0010,TRANSFERRED_BY,441600
payment,EV06_P1,transfer,TRF_0011,TRANSFERRED_BY,496800
payment,EV07_P1,refund,EV07_R1,REFUNDED_BY,150000
payment,EV07_P1,ledger_entry,L_00087,POSTED_AS,800000
payment,EV07_P1,ledger_entry,L_00088,POSTED_AS,800000
payment,EV07_P1,ledger_entry,L_00089,POSTED_AS,150000
payment,EV07_P1,ledger_entry,L_00090,POSTED_AS,150000
payment,EV07_P1,ledger_entry,L_00091,POSTED_AS,631120
payment,EV07_P1,ledger_entry,L_00092,POSTED_AS,16000
payment,EV07_P1,ledger_entry,L_00093,POSTED_AS,2880
payment,EV07_P1,ledger_entry,L_00094,POSTED_AS,650000
payment,EV07_P1,settlement_item,SI_0016,SETTLED_AS,800000
refund,EV07_R1,settlement_item,SI_0017,SETTLED_AS,-150000
payment,EV08_P1,seller_allocation,ALLOC_0012,ALLOCATED_TO,560000
payment,EV08_P1,ledger_entry,L_00095,POSTED_AS,700000
payment,EV08_P1,ledger_entry,L_00096,POSTED_AS,700000
payment,EV08_P1,ledger_entry,L_00097,POSTED_AS,683480
payment,EV08_P1,ledger_entry,L_00098,POSTED_AS,14000
payment,EV08_P1,ledger_entry,L_00099,POSTED_AS,2520
payment,EV08_P1,ledger_entry,L_00100,POSTED_AS,700000
payment,EV08_P1,settlement_item,SI_0018,SETTLED_AS,700000
payment,EV08_P1,transfer,TRF_0012,TRANSFERRED_BY,492800
payment,EV08_P2,ledger_entry,L_00101,POSTED_AS,250000
payment,EV08_P2,ledger_entry,L_00102,POSTED_AS,250000
payment,EV08_P2,ledger_entry,L_00103,POSTED_AS,250000
payment,EV08_P2,ledger_entry,L_00104,POSTED_AS,250000
payment,EV08_P2,settlement_item,SI_0019,SETTLED_AS,250000
payment,EV09_P1,ledger_entry,L_00105,POSTED_AS,950000
payment,EV09_P1,ledger_entry,L_00106,POSTED_AS,950000
payment,EV09_P1,ledger_entry,L_00107,POSTED_AS,927580
payment,EV09_P1,ledger_entry,L_00108,POSTED_AS,19000
payment,EV09_P1,ledger_entry,L_00109,POSTED_AS,3420
payment,EV09_P1,ledger_entry,L_00110,POSTED_AS,950000
payment,EV09_P1,settlement_item,SI_0020,SETTLED_AS,950000
payment,EV10_P1,seller_allocation,ALLOC_0013,ALLOCATED_TO,980000
payment,EV10_P1,seller_allocation,ALLOC_0014,ALLOCATED_TO,280000
