payment_id,order_id,customer_id,amount_paise,currency,payment_status,payment_method,created_at,captured_at,failure_reason
EV01_P1,ORD_0001,CUST_001,250000,INR,CAPTURED,UPI,2026-02-02 05:30:00+00:00,2026-02-02 05:30:00+00:00,
EV01_P2,ORD_0002,CUST_002,1000000,INR,CAPTURED,CARD,2026-02-03 05:30:00+00:00,2026-02-03 05:30:00+00:00,
EV01_P3,ORD_0003,CUST_003,480000,INR,CAPTURED,NETBANKING,2026-02-02 05:30:00+00:00,2026-02-02 05:30:00+00:00,
EV02_P1,ORD_0004,CUST_004,620000,INR,FAILED,CARD,2026-02-04 05:30:00+00:00,,Bank declined
EV02_P2,ORD_0004,CUST_004,620000,INR,FAILED,CARD,2026-02-04 05:30:00+00:00,,Bank declined
EV02_P3,ORD_0004,CUST_004,620000,INR,CAPTURED,CARD,2026-02-04 05:30:00+00:00,2026-02-04 05:30:00+00:00,
EV02_P4,ORD_0005,CUST_005,310000,INR,CAPTURED,WALLET,2026-02-05 05:30:00+00:00,2026-02-05 05:30:00+00:00,
EV03_P1,ORD_0006,CUST_006,900000,INR,CAPTURED,CARD,2026-02-06 05:30:00+00:00,2026-02-06 05:30:00+00:00,
EV04_P1,ORD_0007,CUST_007,1000000,INR,CAPTURED,CARD,2026-02-08 05:30:00+00:00,2026-02-08 05:30:00+00:00,
EV05_P1,ORD_0008,CUST_008,120200,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV05_P2,ORD_0009,CUST_009,180500,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV05_P3,ORD_0010,CUST_010,240700,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV05_P4,ORD_0011,CUST_011,300800,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV05_P5,ORD_0012,CUST_012,361000,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV05_P6,ORD_0013,CUST_013,421100,INR,CAPTURED,CARD,2026-02-10 05:30:00+00:00,2026-02-10 05:30:00+00:00,
EV06_P1,ORD_0014,CUST_014,1200000,INR,CAPTURED,CARD,2026-02-12 05:30:00+00:00,2026-02-12 05:30:00+00:00,
EV07_P1,ORD_0015,CUST_015,800000,INR,CAPTURED,CARD,2026-02-14 05:30:00+00:00,2026-02-14 05:30:00+00:00,
EV08_P1,ORD_0016,CUST_016,700000,INR,CAPTURED,CARD,2026-02-16 05:30:00+00:00,2026-02-16 05:30:00+00:00,
EV08_P2,ORD_0017,CUST_017,250000,INR,CAPTURED,UPI,2026-02-17 05:30:00+00:00,2026-02-17 05:30:00+00:00,
EV09_P1,ORD_0018,CUST_018,950000,INR,CAPTURED,CARD,2026-02-18 05:30:00+00:00,2026-02-18 05:30:00+00:00,
EV10_P1,ORD_0019,CUST_019,1400000,INR,CAPTURED,CARD,2026-02-20 05:30:00+00:00,2026-02-20 05:30:00+00:00,
EV11_P1,ORD_0020,CUST_020,900000,INR,CAPTURED,CARD,2026-02-22 05:30:00+00:00,2026-02-22 05:30:00+00:00,
EV11_P2,ORD_0021,CUST_021,600000,INR,CAPTURED,NETBANKING,2026-02-23 05:30:00+00:00,2026-02-23 05:30:00+00:00,
EV12_P1,ORD_0022,CUST_022,700000,INR,CAPTURED,CARD,2026-02-24 05:30:00+00:00,2026-02-24 05:30:00+00:00,
EV13_P1,ORD_0023,CUST_023,550000,INR,CAPTURED,NETBANKING,2026-02-26 05:30:00+00:00,2026-02-26 05:30:00+00:00,
EV14_P1,ORD_0024,CUST_024,1100000,INR,CAPTURED,CARD,2026-02-28 05:30:00+00:00,2026-02-28 05:30:00+00:00,
EV15_P1,ORD_0025,CUST_025,1000000,INR,CAPTURED,CARD,2026-03-02 05:30:00+00:00,2026-03-02 05:30:00+00:00,
EV16_P1,ORD_0026,CUST_026,850000,INR,CAPTURED,CARD,2026-03-04 05:30:00+00:00,2026-03-04 05:30:00+00:00,
EV17_P1,ORD_0027,CUST_001,1250000,INR,CAPTURED,CARD,2026-03-06 05:30:00+00:00,2026-03-06 05:30:00+00:00,
EV18_P1,ORD_0028,CUST_002,1200000,INR,CAPTURED,CARD,2026-03-08 05:30:00+00:00,2026-03-08 05:30:00+00:00,
EV19_P1,ORD_0029,CUST_003,950000,INR,CAPTURED,CARD,2026-03-10 05:30:00+00:00,2026-03-10 05:30:00+00:00,
EV20_P1,ORD_0030,CUST_004,450000,INR,CAPTURED,CARD,2026-03-12 05:30:00+00:00,2026-03-12 05:30:00+00:00,
EV20_P2,ORD_0031,CUST_005,450000,INR,CAPTURED,CARD,2026-03-12 05:30:00+00:00,2026-03-12 05:30:00+00:00,
EV21_P1,ORD_0032,CUST_006,500000,INR,CAPTURED,CARD,2026-03-14 05:30:00+00:00,2026-03-14 05:30:00+00:00,
EV22_P1,ORD_0033,CUST_007,500000,INR,CAPTURED,CARD,2026-03-16 05:30:00+00:00,2026-03-16 05:30:00+00:00,
PIPE_P001,ORD_0034,CUST_008,485000,INR,CAPTURED,CARD,2026-03-16 05:30:00+00:00,2026-03-16 05:30:00+00:00,
PIPE_P002,ORD_0035,CUST_009,250000,INR,CAPTURED,UPI,2026-03-16 05:30:00+00:00,2026-03-16 05:30:00+00:00,
PIPE_P003,ORD_0036,CUST_010,1120000,INR,CAPTURED,CARD,2026-03-16 05:30:00+00:00,2026-03-16 05:30:00+00:00,
PIPE_P004,ORD_0037,CUST_011,318000,INR,CAPTURED,NETBANKING,2026-03-16 05:30:00+00:00,2026-03-16 05:30:00+00:00,
PIPE_P005,ORD_0038,CUST_012,742000,INR,CAPTURED,CARD,2026-03-17 05:30:00+00:00,2026-03-17 05:30:00+00:00,
PIPE_P006,ORD_0039,CUST_013,196000,INR,CAPTURED,UPI,2026-03-17 05:30:00+00:00,2026-03-17 05:30:00+00:00,
PIPE_P007,ORD_0040,CUST_014,655000,INR,CAPTURED,WALLET,2026-03-17 05:30:00+00:00,2026-03-17 05:30:00+00:00,
PIPE_P008,ORD_0041,CUST_015,1480000,INR,CAPTURED,CARD_INTL,2026-03-18 05:30:00+00:00,2026-03-18 05:30:00+00:00,
PIPE_P009,ORD_0042,CUST_016,409000,INR,CAPTURED,UPI,2026-03-18 05:30:00+00:00,2026-03-18 05:30:00+00:00,
PIPE_P010,ORD_0043,CUST_017,275000,INR,CAPTURED,CARD,2026-03-18 05:30:00+00:00,2026-03-18 05:30:00+00:00,
PIPE_P011,ORD_0044,CUST_018,890000,INR,CAPTURED,NETBANKING,2026-03-18 05:30:00+00:00,2026-03-18 05:30:00+00:00,
PIPE_P012,ORD_0045,CUST_019,533000,INR,CAPTURED,CARD,2026-03-19 05:30:00+00:00,2026-03-19 05:30:00+00:00,
PIPE_P013,ORD_0046,CUST_020,167000,INR,CAPTURED,UPI,2026-03-19 05:30:00+00:00,2026-03-19 05:30:00+00:00,
