settlement_id,settlement_date,settlement_period_start,settlement_period_end,gross_amount_paise,refund_amount_paise,fee_amount_paise,tax_amount_paise,adjustment_amount_paise,net_settlement_amount_paise,settlement_status,settlement_utr
EV_01,2026-02-05,2026-02-02,2026-02-03,1730000,0,28400,5112,0,1696488,PROCESSED,N26020500000001
EV_02,2026-02-07,2026-02-04,2026-02-05,930000,0,18600,3348,0,908052,PROCESSED,N26020700000002
EV_03,2026-02-10,2026-02-06,2026-02-07,900000,300000,18000,3240,0,578760,PROCESSED,N26021000000003
EV_04,2026-02-11,2026-02-08,2026-02-09,1000000,0,25000,4500,0,970500,PROCESSED,N26021100000004
EV_05,2026-02-13,2026-02-10,2026-02-11,1624300,0,32486,5847,0,1585967,PROCESSED,N26021300000005
EV_06,2026-02-17,2026-02-12,2026-02-13,1200000,0,24000,4320,0,1171680,PROCESSED,N26021700000006
EV_07,2026-02-18,2026-02-14,2026-02-15,800000,0,16000,2880,0,781120,PROCESSED,N26021800000007
EV_08,2026-02-19,2026-02-16,2026-02-17,875000,150000,14000,2520,0,708480,PROCESSED,N26021900000008
EV_09,2026-02-21,2026-02-18,2026-02-19,950000,0,19000,3420,0,837580,PROCESSED,N26022100000009
EV_10,2026-02-24,2026-02-20,2026-02-21,1400000,0,28000,5040,0,1366960,PROCESSED,N26022400000010
EV_11,2026-02-25,2026-02-22,2026-02-23,1500000,0,28500,5130,0,1466370,PROCESSED,N26022500000011
EV_12,2026-02-26,2026-02-24,2026-02-24,700000,0,14000,2520,0,683480,PROCESSED,N26022600000012
EV_13,2026-02-27,2026-02-25,2026-02-25,550000,0,9625,1733,0,538642,PROCESSED,N26022700000013
EV_14,2026-03-03,2026-02-26,2026-02-27,1100000,0,22000,3960,0,1074040,PROCESSED,N26030300000014
EV_15,2026-03-05,2026-02-28,2026-03-01,1000000,0,20000,3600,0,976400,PROCESSED,N26030500000015
EV_16,2026-03-06,2026-03-02,2026-03-03,850000,0,17000,3060,0,829940,PROCESSED,N26030600000016
EV_17,2026-03-07,2026-03-04,2026-03-05,1250000,0,25000,4500,0,1220500,PROCESSED,N26030700000017
EV_18,2026-03-10,2026-03-06,2026-03-07,1200000,0,24000,4320,0,1171680,PROCESSED,N26031000000018
EV_19,2026-03-11,2026-03-08,2026-03-09,950000,0,19000,3420,0,927580,PROCESSED,N26031100000019
EV_20,2026-03-13,2026-03-10,2026-03-11,900000,0,18000,3240,0,878760,PROCESSED,N26031300000020
EV_21,2026-03-17,2026-03-12,2026-03-13,500000,0,10000,1800,0,488200,PROCESSED,N26031700000021
EV_22,2026-03-18,2026-03-14,2026-03-15,500000,0,10000,1800,0,488200,PROCESSED,N26031800000022
