invoice_no,invoice_date,return_period,supplier_gstin,document_type,settlement_id,taxable_value_paise,cgst_paise,sgst_paise,igst_paise,itc_eligible,ineligible_reason,filed_at
DGS/2026/0001,2026-02-05,2026-02,29DEMOP0000D1Z5,INVOICE,EV_01,28400,2556,2556,0,True,,2026-02-11
DGS/2026/0002,2026-02-07,2026-02,29DEMOP0000D1Z5,INVOICE,EV_02,18600,1674,1674,0,True,,2026-02-11
DGS/2026/0003,2026-02-10,2026-02,29DEMOP0000D1Z5,INVOICE,EV_03,18000,1620,1620,0,False,Blocked credit under section 17(5),2026-02-11
DGS/2026/0004,2026-02-11,2026-02,29DEMOP0000D1Z5,INVOICE,EV_04,25000,2250,2250,0,True,,2026-02-11
DGS/2026/0005,2026-02-13,2026-02,29DEMOP0000D1Z5,INVOICE,EV_05,32486,2924,2923,0,True,,2026-02-11
DGS/2026/0006,2026-02-17,2026-02,29DEMOP0000D1Z5,INVOICE,EV_06,24000,2160,2160,0,True,,2026-02-11
DGS/2026/0008,2026-02-19,2026-02,29DEMOP0000D1Z5,INVOICE,EV_08,14000,1260,1260,0,True,,2026-02-11
DGS/2026/0009,2026-02-21,2026-02,29DEMOP0000D1Z5,INVOICE,EV_09,19000,1710,1710,0,True,,2026-02-11
DGS/2026/0010,2026-02-24,2026-02,29DEMOP0000D1Z5,INVOICE,EV_10,28000,2520,2520,0,True,,2026-02-11
DGS/2026/0011,2026-02-25,2026-02,29DEMOP0000D1Z5,INVOICE,EV_11,28500,2564,2563,0,True,,2026-02-11
DGS/2026/0012,2026-02-26,2026-02,29DEMOP0000D1Z5,INVOICE,EV_12,14000,1260,1260,0,True,,2026-02-11
DGS/2026/0013,2026-02-27,2026-02,29DEMOP0000D1Z5,INVOICE,EV_13,9625,867,866,0,True,,2026-02-11
DGS/2026/0014,2026-03-03,2026-03,29DEMOP0000D1Z5,INVOICE,EV_14,22000,1980,1980,0,True,,2026-03-11
DGS/2026/0015,2026-03-05,2026-03,29DEMOP0000D1Z5,INVOICE,EV_15,20000,0,0,3600,True,,2026-03-11
DGS/2026/0016,2026-03-06,2026-03,29DEMOP0000D1Z5,INVOICE,EV_16,17000,1530,1530,0,True,,2026-03-11
DGS/2026/0017,2026-03-07,2026-03,29DEMOP0000D1Z5,INVOICE,EV_17,25000,2250,2250,0,True,,2026-03-11
DGS/2026/0018,2026-03-10,2026-03,29DEMOP0000D1Z5,INVOICE,EV_18,24000,2160,2160,0,True,,2026-03-11
DGS/2026/0019,2026-03-11,2026-03,29DEMOP0000D1Z5,INVOICE,EV_19,19000,1710,1710,0,True,,2026-03-11
DGS/2026/0020,2026-03-13,2026-04,29DEMOP0000D1Z5,INVOICE,EV_20,18000,1620,1620,0,True,,2026-04-14
DGS/2026/0021,2026-03-17,2026-03,29DEMOP0000D1Z5,INVOICE,EV_21,10000,900,900,0,True,,2026-03-11
DGS/2026/0022,2026-03-18,2026-03,29DEMOP0000D1Z5,INVOICE,EV_22,10000,900,900,0,True,,2026-03-11
