transfer_id,payment_id,seller_id,amount_paise,transfer_status,transfer_date,transfer_reference
EV18_T1,EV18_P1,SELL_01,674000,PROCESSED,2026-03-10,EV18_T1
EV18_T2,EV18_P1,SELL_05,368000,PROCESSED,2026-03-10,EV18_T2
EV18_T3,EV18_P1,SELL_01,30000,REVERSED,2026-03-10,EV18_T3
TRF_0001,EV01_P2,SELL_01,528000,PROCESSED,2026-02-05,TRF_0001
TRF_0002,EV01_P2,SELL_04,308000,PROCESSED,2026-02-05,TRF_0002
TRF_0003,EV01_P3,SELL_02,397440,PROCESSED,2026-02-05,TRF_0003
TRF_0004,EV02_P3,SELL_03,421600,PROCESSED,2026-02-07,TRF_0004
TRF_0005,EV02_P4,SELL_05,213900,PROCESSED,2026-02-07,TRF_0005
TRF_0006,EV03_P1,SELL_02,414000,PROCESSED,2026-02-10,TRF_0006
TRF_0007,EV04_P1,SELL_04,616000,PROCESSED,2026-02-11,TRF_0007
TRF_0008,EV05_P1,SELL_03,97061,PROCESSED,2026-02-13,TRF_0008
TRF_0009,EV05_P4,SELL_01,172058,PROCESSED,2026-02-13,TRF_0009
TRF_0010,EV06_P1,SELL_05,441600,PROCESSED,2026-02-17,TRF_0010
TRF_0011,EV06_P1,SELL_02,496800,PROCESSED,2026-02-17,TRF_0011
TRF_0012,EV08_P1,SELL_01,492800,PROCESSED,2026-02-19,TRF_0012
TRF_0013,EV10_P1,SELL_04,862400,PROCESSED,2026-02-24,TRF_0013
TRF_0014,EV10_P1,SELL_03,238000,PROCESSED,2026-02-24,TRF_0014
TRF_0015,EV11_P1,SELL_02,496800,PROCESSED,2026-02-25,TRF_0015
TRF_0016,EV11_P2,SELL_05,469200,PROCESSED,2026-02-25,TRF_0016
TRF_0017,EV14_P1,SELL_01,532400,PROCESSED,2026-03-03,TRF_0017
TRF_0018,EV15_P1,SELL_03,595000,PROCESSED,2026-03-05,TRF_0018
TRF_0019,EV17_P1,SELL_04,660000,PROCESSED,2026-03-07,TRF_0019
TRF_0020,EV20_P1,SELL_02,289800,PROCESSED,2026-03-13,TRF_0020
TRF_0021,EV20_P2,SELL_05,289800,PROCESSED,2026-03-13,TRF_0021
TRF_0022,EV21_P1,SELL_01,396000,PROCESSED,2026-03-17,TRF_0022
